TESTING: after 0 episodes, reward is 0.446417777971
TESTING: after 50 episodes, reward is 0.0293799688693
TESTING: after 100 episodes, reward is 0.03085925854
TESTING: after 150 episodes, reward is 0.0303028714015
TESTING: after 200 episodes, reward is 0.0299277013934
TESTING: after 250 episodes, reward is 0.0326834914297
TESTING: after 300 episodes, reward is 0.0331725270135
TESTING: after 350 episodes, reward is 0.0324905935579
TESTING: after 400 episodes, reward is 0.0322846220997
TESTING: after 450 episodes, reward is 0.031322436464
TESTING: after 500 episodes, reward is 0.0291327101449
TESTING: after 550 episodes, reward is 0.0277042066861
TESTING: after 600 episodes, reward is 0.0314524623225
TESTING: after 650 episodes, reward is 0.0351030014148
TESTING: after 700 episodes, reward is 0.0308980725186
TESTING: after 750 episodes, reward is 0.0339374106075
TESTING: after 800 episodes, reward is 0.0296636436972
TESTING: after 850 episodes, reward is 0.0300227350058
TESTING: after 900 episodes, reward is 0.0283568964891
TESTING: after 950 episodes, reward is 0.0293759533599
